root[0]/frame_blue[0],560,-682,246,250
root[0]/frame_pink[0],289.5,-689.5,245,251
root[0]/frame_rose[0],565.5,-939.5,249,247
root[0]/frame_chef_siv[0],557.5,-1230,243,252
root[0]/frame_chef_gold[0],296.5,-1226,239,244
root[0]/frame_star[0],295.5,-950.5,241,251
root[0]/frame[0],706,-1457,138,40
root[0]/avatar[0],380,-1457,142,32
root[0]/player_profile[0],557.5,-1938.5,435,77
root[0]/nameplate_blue[0],539.5,-1941.5,733,161
root[0]/iocn_quit[0],981.5,-1911.5,105,111
root[0]/bt_on[0],699.5,-1455,313,112
root[0]/bt_off[0],380.5,-1455,313,112
root[0]/rectangle_17_copy[0],539,-1453,644,118
root[0]/lock_copy_5[0],565.5,-1226.5,75,101
root[0]/lock_copy_3[0],825.5,-1196.5,75,101
root[0]/lock_copy_4[0],547.5,-602,629,98
root[0]/lock_copy_2[0],547.5,-912,629,98
root[0]/layer_328[0],539,-933.5,776,763
root[0]/icon_v[0],270,-1083.5,82,67
root[0]/layer_327[0],265,-1196,236,236
root[0]/rectangle_17[0],541,-955,866,820
root[0]/line_avartar[0],528.5,-1673.5,299,305
root[0]/layer_262[0],530.5,-1633,255,382
root[0]/el_avatar[0],528.5,-1676.5,279,281
root[0]/line[0],540,-1200.5,906,1503
root[0]/re_line_out[0],544,-1200.5,980,1577
root[0]/layer_260[0],540,-1200,1080,2400
