res_type,res_id,res_number,many_purchase,is_every_day,seat,weight
2,100101,1,5,FALSE,,1
2,100201,1,5,FALSE,,1
2,100301,1,5,FALSE,,1
2,100401,1,5,FALSE,,1
2,100501,1,5,FALSE,,1
2,700101,1,5,FALSE,,1
2,700102,1,5,FALSE,,1
2,700103,1,5,FALSE,,1
2,700104,1,5,FALSE,,1
2,700105,1,5,FALSE,,1
2,700106,1,5,FALSE,,1
2,700107,1,5,FALSE,,1
2,700108,1,5,FALSE,,1
2,700109,1,5,FALSE,,1
2,700110,1,5,FALSE,,1
2,700201,1,5,FALSE,,1
2,700202,1,5,FALSE,,1
2,700203,1,5,FALSE,,1
2,700204,1,5,FALSE,,1
2,700205,1,5,FALSE,,1
2,700206,1,5,FALSE,,1
2,700207,1,5,FALSE,,1
2,700208,1,5,FALSE,,1
2,700301,1,5,FALSE,,1
2,700302,1,5,FALSE,,1
2,700303,1,5,FALSE,,1
2,700304,1,5,FALSE,,1
2,700305,1,5,FALSE,,1
2,700306,1,5,FALSE,,1
2,700307,1,5,FALSE,,1
2,700308,1,5,FALSE,,1
2,700401,1,5,FALSE,,1
2,700402,1,5,FALSE,,1
2,700403,1,5,FALSE,,1
2,700404,1,5,FALSE,,1
2,700501,1,5,FALSE,,1
2,700502,1,5,FALSE,,1
2,700503,1,5,FALSE,,1
2,700504,1,5,FALSE,,1
2,700505,1,5,FALSE,,1
2,700506,1,5,FALSE,,1
2,700507,1,5,FALSE,,1
2,700508,1,5,FALSE,,1
2,700601,1,5,FALSE,,1
2,700602,1,5,FALSE,,1
2,700603,1,5,FALSE,,1
2,700604,1,5,FALSE,,1
2,700605,1,5,FALSE,,1
2,700606,1,5,FALSE,,1
2,700607,1,5,FALSE,,1
2,700608,1,5,FALSE,,1
2,700701,1,5,FALSE,,1
2,700702,1,5,FALSE,,1
2,700703,1,5,FALSE,,1
2,700704,1,5,FALSE,,1
2,700705,1,5,FALSE,,1
2,700706,1,5,FALSE,,1
2,700707,1,5,FALSE,,1
2,700801,1,5,FALSE,,1
2,700802,1,5,FALSE,,1
2,700803,1,5,FALSE,,1
2,700804,1,5,FALSE,,1
2,700805,1,5,FALSE,,1
2,700806,1,5,FALSE,,1
2,700807,1,5,FALSE,,1
2,700901,1,5,FALSE,,1
2,700902,1,5,FALSE,,1
2,700903,1,5,FALSE,,1
2,700904,1,5,FALSE,,1
2,700905,1,5,FALSE,,1
2,700906,1,5,FALSE,,1
2,700907,1,5,FALSE,,1
2,700908,1,5,FALSE,,1
2,701001,1,5,FALSE,,1
2,701002,1,5,FALSE,,1
2,701003,1,5,FALSE,,1
2,701004,1,5,FALSE,,1
2,701005,1,5,FALSE,,1
2,701006,1,5,FALSE,,1
2,701007,1,5,FALSE,,1
2,701008,1,5,FALSE,,1
2,701101,1,5,FALSE,,1
2,701102,1,5,FALSE,,1
2,701103,1,5,FALSE,,1
2,701104,1,5,FALSE,,1
2,701105,1,5,FALSE,,1
2,701106,1,5,FALSE,,1
2,701107,1,5,FALSE,,1
2,701108,1,5,FALSE,,1
2,701201,1,5,FALSE,,1
2,701202,1,5,FALSE,,1
2,701203,1,5,FALSE,,1
2,701204,1,5,FALSE,,1
2,701205,1,5,FALSE,,1
2,701206,1,5,FALSE,,1
2,701301,1,5,FALSE,,1
2,701302,1,5,FALSE,,1
2,701303,1,5,FALSE,,1
2,701304,1,5,FALSE,,1
2,701305,1,5,FALSE,,1
2,701306,1,5,FALSE,,1
2,701307,1,5,FALSE,,1
2,701308,1,5,FALSE,,1
2,701401,1,5,FALSE,,1
2,701402,1,5,FALSE,,1
2,701403,1,5,FALSE,,1
2,701404,1,5,FALSE,,1
2,701405,1,5,FALSE,,1
2,701406,1,5,FALSE,,1
2,200101,1,5,FALSE,,1
2,200201,1,5,FALSE,,1
2,200301,1,5,FALSE,,1
2,200401,1,5,FALSE,,1
