stageId,round,enemyId,ring,sector,count,patternId,wanderPatternId,level,hpMul,atkMul,defMul
arena_1_1,1,11001,5,0,1,approach_straight,wander_circle,1,1,1,1
arena_1_1,1,11001,5,12,1,approach_straight,wander_circle,1,1,1,1
arena_1_1,2,11002,5,3,1,approach_zigzag,wander_circle,1,1,1,1
arena_1_1,2,11002,5,15,1,approach_zigzag,wander_circle,1,1,1,1
arena_1_1,3,11003,5,0,1,approach_straight,wander_circle,1,1,1,1
arena_1_1,3,11003,5,12,1,approach_straight,wander_circle,1,1,1,1
arena_1_2,1,11001,5,0,1,approach_straight,wander_circle,2,1,1,1
arena_1_2,1,11001,5,12,1,approach_straight,wander_circle,2,1,1,1
arena_1_2,2,11002,5,3,1,approach_zigzag,wander_circle,2,1,1,1
arena_1_2,2,11002,5,15,1,approach_zigzag,wander_circle,2,1,1,1
arena_1_2,3,11003,5,0,1,approach_straight,wander_circle,2,1,1,1
arena_1_2,3,11003,5,12,1,approach_straight,wander_circle,2,1,1,1
arena_1_3,1,11001,5,0,1,approach_straight,wander_circle,3,1,1,1
arena_1_3,1,11001,5,12,1,approach_straight,wander_circle,3,1,1,1
arena_1_3,2,11002,5,3,1,approach_zigzag,wander_circle,3,1,1,1
arena_1_3,2,11002,5,15,1,approach_zigzag,wander_circle,3,1,1,1
arena_1_3,2,11002,5,9,1,approach_zigzag,wander_circle,3,1,1,1
arena_1_3,3,11003,5,0,1,approach_straight,wander_circle,3,1,1,1
arena_1_3,3,11003,5,12,1,approach_straight,wander_circle,3,1,1,1
arena_1_4,1,11001,5,0,1,approach_straight,wander_circle,4,1,1,1
arena_1_4,1,11001,5,12,1,approach_straight,wander_circle,4,1,1,1
arena_1_4,1,11001,5,6,1,approach_straight,wander_circle,4,1,1,1
arena_1_4,2,11002,5,3,1,approach_zigzag,wander_circle,4,1,1,1
arena_1_4,2,11002,5,15,1,approach_zigzag,wander_circle,4,1,1,1
arena_1_4,2,11002,5,9,1,approach_zigzag,wander_circle,4,1,1,1
arena_1_4,3,11003,5,0,1,approach_straight,wander_circle,4,1,1,1
arena_1_4,3,11003,5,12,1,approach_straight,wander_circle,4,1,1,1
arena_1_5,1,11001,5,0,1,approach_straight,wander_circle,5,1,1,1
arena_1_5,1,11001,5,12,1,approach_straight,wander_circle,5,1,1,1
arena_1_5,1,11001,5,6,1,approach_straight,wander_circle,5,1,1,1
arena_1_5,2,11002,5,3,1,approach_zigzag,wander_circle,5,1,1,1
arena_1_5,2,11002,5,15,1,approach_zigzag,wander_circle,5,1,1,1
arena_1_5,2,11002,5,9,1,approach_zigzag,wander_circle,5,1,1,1
arena_1_5,3,11003,5,0,1,approach_straight,wander_circle,5,1,1,1
arena_1_5,3,11003,5,12,1,approach_straight,wander_circle,5,1,1,1
arena_1_5,3,11008,5,6,1,approach_straight,wander_circle,5,1,1,1
arena_1_6,1,11001,5,0,1,approach_straight,wander_circle,6,1,1,1
arena_1_6,1,11001,5,12,1,approach_straight,wander_circle,6,1,1,1
arena_1_6,1,11001,5,6,1,approach_straight,wander_circle,6,1,1,1
arena_1_6,2,11002,5,3,1,approach_zigzag,wander_circle,6,1,1,1
arena_1_6,2,11002,5,15,1,approach_zigzag,wander_circle,6,1,1,1
arena_1_6,2,11002,5,9,1,approach_zigzag,wander_circle,6,1,1,1
arena_1_6,2,11003,5,21,1,approach_straight,wander_circle,6,1,1,1
arena_1_6,3,11003,5,0,1,approach_straight,wander_circle,6,1,1,1
arena_1_6,3,11003,5,12,1,approach_straight,wander_circle,6,1,1,1
arena_1_6,3,11008,5,6,1,approach_straight,wander_circle,6,1,1,1
arena_1_7,1,11001,5,0,1,approach_straight,wander_circle,7,1,1,1
arena_1_7,1,11001,5,12,1,approach_straight,wander_circle,7,1,1,1
arena_1_7,1,11001,5,6,1,approach_straight,wander_circle,7,1,1,1
arena_1_7,1,11008,5,18,1,approach_straight,wander_circle,7,1,1,1
arena_1_7,2,11002,5,3,1,approach_zigzag,wander_circle,7,1,1,1
arena_1_7,2,11002,5,15,1,approach_zigzag,wander_circle,7,1,1,1
arena_1_7,2,11002,5,9,1,approach_zigzag,wander_circle,7,1,1,1
arena_1_7,2,11003,5,21,1,approach_straight,wander_circle,7,1,1,1
arena_1_7,3,11003,5,0,1,approach_straight,wander_circle,7,1,1,1
arena_1_7,3,11003,5,12,1,approach_straight,wander_circle,7,1,1,1
arena_1_7,3,11008,5,6,1,approach_straight,wander_circle,7,1,1,1
arena_1_7,4,11008,5,0,1,approach_straight,wander_circle,7,1,1,1
arena_1_7,4,11008,5,12,1,approach_straight,wander_circle,7,1,1,1
arena_1_8,1,11001,5,0,1,approach_straight,wander_circle,8,1,1,1
arena_1_8,1,11001,5,12,1,approach_straight,wander_circle,8,1,1,1
arena_1_8,1,11001,5,6,1,approach_straight,wander_circle,8,1,1,1
arena_1_8,1,11008,5,18,1,approach_straight,wander_circle,8,1,1,1
arena_1_8,2,11002,5,3,1,approach_zigzag,wander_circle,8,1,1,1
arena_1_8,2,11002,5,15,1,approach_zigzag,wander_circle,8,1,1,1
arena_1_8,2,11002,5,9,1,approach_zigzag,wander_circle,8,1,1,1
arena_1_8,2,11003,5,21,1,approach_straight,wander_circle,8,1,1,1
arena_1_8,3,11003,5,0,1,approach_straight,wander_circle,8,1,1,1
arena_1_8,3,11003,5,12,1,approach_straight,wander_circle,8,1,1,1
arena_1_8,3,11008,5,6,1,approach_straight,wander_circle,8,1,1,1
arena_1_8,3,11012,5,18,1,approach_straight,wander_circle,8,1,1,1
arena_1_8,4,11008,5,0,1,approach_straight,wander_circle,8,1,1,1
arena_1_8,4,11008,5,12,1,approach_straight,wander_circle,8,1,1,1
arena_1_9,1,11001,5,0,1,approach_straight,wander_circle,9,1,1,1
arena_1_9,1,11001,5,12,1,approach_straight,wander_circle,9,1,1,1
arena_1_9,1,11001,5,6,1,approach_straight,wander_circle,9,1,1,1
arena_1_9,1,11008,5,18,1,approach_straight,wander_circle,9,1,1,1
arena_1_9,2,11002,5,3,1,approach_zigzag,wander_circle,9,1,1,1
arena_1_9,2,11002,5,15,1,approach_zigzag,wander_circle,9,1,1,1
arena_1_9,2,11002,5,9,1,approach_zigzag,wander_circle,9,1,1,1
arena_1_9,2,11003,5,21,1,approach_straight,wander_circle,9,1,1,1
arena_1_9,3,11003,5,0,1,approach_straight,wander_circle,9,1,1,1
arena_1_9,3,11003,5,12,1,approach_straight,wander_circle,9,1,1,1
arena_1_9,3,11008,5,6,1,approach_straight,wander_circle,9,1,1,1
arena_1_9,3,11012,5,18,1,approach_straight,wander_circle,9,1,1,1
arena_1_9,4,11008,5,0,1,approach_straight,wander_circle,9,1,1,1
arena_1_9,4,11008,5,12,1,approach_straight,wander_circle,9,1,1,1
arena_1_10,1,11001,5,0,1,approach_straight,wander_circle,10,1,1,1
arena_1_10,1,11001,5,12,1,approach_straight,wander_circle,10,1,1,1
arena_1_10,1,11001,5,6,1,approach_straight,wander_circle,10,1,1,1
arena_1_10,1,11008,5,18,1,approach_straight,wander_circle,10,1,1,1
arena_1_10,2,11002,5,3,1,approach_zigzag,wander_circle,10,1,1,1
arena_1_10,2,11002,5,15,1,approach_zigzag,wander_circle,10,1,1,1
arena_1_10,2,11002,5,9,1,approach_zigzag,wander_circle,10,1,1,1
arena_1_10,2,11003,5,21,1,approach_straight,wander_circle,10,1,1,1
arena_1_10,3,11003,5,0,1,approach_straight,wander_circle,10,1,1,1
arena_1_10,3,11003,5,12,1,approach_straight,wander_circle,10,1,1,1
arena_1_10,3,11008,5,6,1,approach_straight,wander_circle,10,1,1,1
arena_1_10,3,11012,5,18,1,approach_straight,wander_circle,10,1,1,1
arena_1_10,4,11008,5,0,1,approach_straight,wander_circle,10,1,1,1
arena_1_10,4,11008,5,12,1,approach_straight,wander_circle,10,1,1,1
